발생원인,월별,시간대별,사고규모,풍속(m/s),GUST풍속(m/s),현지기압(hPa),습도(%),기온(°C),최대파고(m),파주기(sec),지점_목포,지점_보령,지점_부산,지점_서귀포,지점_속초,지점_여수,지점_완도,지점_울산,지점_울진,지점_인천,지점_제주,지점_태안,지점_통영,지점_평택,지점_포항,발생해역_EEZ 30마일 이내,발생해역_공해,발생해역_영해,발생해역_영해-EEZ,발생해역_항계 내,발생해역_항계내,발생해역_협수로,기상상태_양호,기상상태_저시정,기상상태_태풍경보,기상상태_태풍주의보,기상상태_풍랑경보,기상상태_풍랑주의보,기상상태_황천2급,기상상태_황천3급,기상상태_황천4급,기상상태_황천5급,기상상태_황천6급,선 종_고무보트,선 종_관공선,선 종_기타,선 종_기타(레져선박),선 종_기타(통선),선 종_낚시어선,선 종_모터보트,선 종_어선,선 종_여객선,선 종_예부선,선 종_요트,선 종_유도선,선 종_유조선,선 종_화물선
운항과실,12,2,0.3181818181818182,10.700722891566263,15.225301204819278,1019.3,49.0,11.0,1.9,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
운항과실,12,7,0.1571428571428571,4.9,6.5,1026.6,41.0,10.5,1.5,6.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
운항과실,12,20,0.0652173913043478,6.6,8.2,1029.3,50.0,9.3,1.1,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
기타,12,7,0.4024144869215292,5.8,7.2,1028.5,56.0,8.4,0.9,4.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
운항과실,12,1,0.3164556962025316,6.6,8.6,1027.9,63.0,11.4,1.2,3.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
취급불량 및 결함,12,20,0.8188331627430911,7.5,9.8,1029.3,52.0,8.0,1.8,5.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
운항과실,12,5,0.0066093853271645,7.5,9.7,1026.1,51.0,9.3,1.8,9.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
관리문제,12,23,0.3448275862068966,8.0,10.8,1028.5,57.0,8.1,2.8,4.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
운항과실,12,22,0.2307692307692307,8.5,11.3,1028.5,55.0,8.1,2.3,6.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
운항과실,12,16,0.1654676258992805,11.6,14.5,1014.9,62.0,14.1,4.1,7.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
취급불량 및 결함,12,14,0.0957446808510638,9.714698795180723,13.714457831325303,1019.35,74.0,10.9,3.3,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
기타,12,13,0.0287769784172661,12.9,15.6,1016.5,69.0,13.0,3.1,7.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
관리문제,12,7,4.166666666666667,4.9,6.6,1019.4,69.0,9.0,1.2,6.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
운항과실,11,1,0.125,2.5,3.7,1020.1,88.0,12.9,1.9,6.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
관리문제,11,12,0.1294117647058823,4.8,7.2,1022.9,93.0,13.4,1.3,5.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
운항과실,11,8,0.2413793103448276,9.064819277108434,12.718674698795182,1022.2,68.0,16.3,0.6,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
운항과실,11,7,2.6755852842809364,0.1,0.9,1028.9,56.0,10.1,0.7,7.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
운항과실,11,6,0.2522068095838587,4.9,6.4,1028.7,59.0,10.4,0.4,4.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
관리문제,11,17,1.1494252873563218,1.8,3.4,1029.2,56.0,9.9,0.6,4.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
관리문제,11,7,0.0,7.2,9.9,1026.6,56.0,7.2,2.6,4.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
관리문제,11,22,0.0025304444092993,7.4,10.2,1021.4,67.0,11.5,0.6,2.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
기타,11,22,0.4827586206896552,10.0,13.1,1028.0,29.0,8.3,2.7,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
관리문제,11,1,0.3333333333333333,4.5,5.5,1008.3,96.0,15.8,1.0,6.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
운항과실,11,17,0.0444444444444444,5.6,7.8,1011.0,93.0,19.2,4.6,8.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
관리문제,11,13,2.5,6.8,10.1,1024.6,64.0,15.9,0.8,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
기타,11,18,0.0526315789473684,2.1,3.0,1029.1,47.0,16.0,1.1,8.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
운항과실,11,17,0.1343283582089552,1.7,2.6,1028.4,49.0,15.3,0.4,4.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
취급불량 및 결함,11,16,2.0,5.1,6.8,1028.0,64.0,15.3,1.5,4.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
취급불량 및 결함,11,14,1.3333333333333333,3.6,5.3,1028.2,45.0,15.0,1.3,7.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
관리문제,11,19,0.1529411764705882,6.3,7.5,1029.3,48.0,13.4,1.2,4.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
관리문제,11,13,2.857142857142857,4.8,5.9,1019.6,63.0,15.0,0.9,5.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
운항과실,11,8,0.6507592190889371,5.5,6.9,1016.1,64.0,16.5,0.8,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
운항과실,11,15,0.3333333333333333,1.8,3.6,1013.9,53.0,17.4,1.0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
관리문제,11,15,1.0,6.3,7.8,1013.6,78.0,16.5,1.5,6.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
운항과실,11,14,0.0808080808080808,4.7,7.4,1021.2,64.0,14.8,2.4,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
취급불량 및 결함,11,11,0.2040816326530612,7.091608391608391,8.742191142191142,1018.9,81.0,17.5,2.6,5.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
운항과실,11,7,0.9211873080859776,5.7,7.0,1019.2,74.78548895899054,14.931861198738169,1.6,5.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
관리문제,11,13,2.5,3.6,5.0,1020.5,74.16088328075709,15.05110410094637,1.2,5.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
운항과실,11,14,0.0093374833259226,4.2,5.4,1017.4,89.0,18.0,1.4,6.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
기타,11,21,0.2352941176470588,8.4,13.9,1018.7,87.0,19.3,3.0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
운항과실,11,20,0.0287769784172661,7.481818181818182,9.363636363636363,1018.6,84.0,20.6,1.7,5.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
취급불량 및 결함,11,7,0.2522068095838587,7.714685314685314,9.734498834498831,1025.4,79.0,20.1,1.5,4.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
관리문제,11,3,0.4137931034482758,2.8,4.4,1024.5,71.3154574132492,15.594321766561514,0.7,4.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
기타,11,1,0.1023541453428864,7.752447552447553,9.794638694638696,1026.0,79.0,19.7,1.7,5.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
