발생일시,관할해경서,발생해역,발생유형,발생원인,기상특보,사고선박수,구조인원,부상인원,사망인원,실종인원,사고위치,위도,경도,선종1,톤수1,선종2,톤수2,선종3,톤수3
2018-12-23 04:58,포항,항계내,침수,관리소홀,양호,1,0,0,0,0,구룡포 병포리항 내,35|59|03,129|33|12,어선,1.64,,,,
2018-12-23 04:00,완도,영해,기관손상,정비불량,양호,1,22,0,0,0,제주 우도 북동방 13해리 해상,33|42|00,127|08|00,낚시어선,9.77,,,,
2018-12-23 02:36,부산,항계내,좌초,기타,양호,1,8,0,0,0,"부산, 8부두 앞 해상(연합부두 앞)",35|07|03,129|04|18,화물선,1479,,,,
2018-12-22 18:58,태안,영해,안전저해,운항부주의,양호,1,4,0,0,0,충남 태안군 근흥면 가의도 서방 2해리 해상,36|40|00,126|01|00,어선,7.93,,,,
2018-12-22 17:38,서귀포,영해,운항저해,정비불량,양호,1,0,0,0,0,지귀도 옆 해상,33|13|52,126|38|54,고무보트,0.1,,,,
2018-12-22 16:45,군산,항계내,인명사상,기타,양호,1,1,1,0,0,군산항 A-2 묘박지,35|56|44,126|26|25,화물선,6550,,,,
2018-12-22 15:12,완도,영해,접촉,운항부주의,양호,1,4,0,0,0,완도군 보길도 동방 0.3해리 해상,34|09|27,126|38|21,어선,9.77,,,,
2018-12-22 14:12,통영,영해,운항저해,연료고갈,양호,1,1,0,0,0,통영시 사량면 죽도 남방 약 1해리 해상,34|48|33,128|10|84,기타,1,,,,
2018-12-22 13:20,인천,항계내,좌초,운항부주의,양호,1,2,0,0,0,아라한강갑문 인근 한강 수역,37|35|58,126|47|54,요트,0,,,,
2018-12-22 13:00,서귀포,영해-EEZ,인명사상,기타,양호,1,1,1,0,0,서귀남방 21해리,32|52|38,126|33|46,어선,62,,,,
2018-12-22 12:33,포항,영해,인명사상,운항부주의,양호,1,0,0,0,1,화진 동방 2.7해리,36|14|00,129|26|00,어선,1.85,,,,
2018-12-22 10:56,평택,영해,기관손상,정비불량,양호,1,4,0,0,0,경기도 화성시 제부도 남서방 약 1.2해리 해상,37|09|15,126|35|37,어선,6.45,,,,
2018-12-22 10:10,서귀포,영해,안전저해,운항부주의,양호,1,2,0,0,0,서귀포 남방 8.6해리,33|05|00,126|33|00,어선,6.67,,,,
2018-12-22 07:39,군산,영해,기관손상,정비불량,양호,1,19,0,0,0,군산 십이동파도 남서 1해리,35|59|00,126|12|00,낚시어선,9.77,,,,
2018-12-22 07:05,울산,항계내,인명사상,관리소홀,양호,1,1,1,0,0,울산 방어진항 수협냉동창고 앞 25청광호 선내,35|29|05,129|25|41,어선,65,,,,
2018-12-21 19:10,서귀포,영해-EEZ,기관손상,정비불량,양호,1,10,0,0,0,서귀포 남동방 61해리,32|22|00,127|14|00,어선,29,,,,
2018-12-21 18:49,여수,항계내,기관손상,정비불량,양호,1,2,0,0,0,여수시 화양면 용주리 마물도 북서방 약 330미터 해상,34|42|25,127|38|37,모터보트,1.45,,,,
2018-12-21 15:01,통영,영해,기관손상,정비불량,양호,1,1,0,0,0,통영시 욕지면 욕지도 유동 앞 해상,34|37|82,128|14|22,어선,2.99,,,,
2018-12-21 14:52,서귀포,영해,기관손상,정비불량,양호,1,0,0,0,0,성산남동방 6해리,33|26|00,127|03|00,유조선,498,,,,
2018-12-21 11:47,본청,영해,기관손상,정비불량,양호,1,5,0,0,0,경북 울진군 죽변면 죽변항 남동방 약 12해리 해상,36|56|00,129|37|00,어선,6.67,,,,
2018-12-21 10:23,제주,영해,추진기손상,정비불량,양호,1,7,0,0,0,추자도 남서방 14해리,33|52|00,126|06|00,어선,29,,,,
2018-12-21 10:20,서귀포,영해-EEZ,인명사상,기타,양호,1,1,0,0,0,서귀포남서방 54해리,32|34|00,125|51|00,어선,218,,,,
2018-12-21 01:51,군산,항계내,기관손상,정비불량,양호,1,5,0,0,0,군산항 7부두 북방 0.3해리,35|58|00,126|32|00,어선,19,,,,
2018-12-20 19:38,평택,영해,운항저해,정비불량,양호,1,3,0,0,0,아산만 34번 부이 인근해상,37|01|59,126|41|03,어선,7.31,,,,
2018-12-20 16:01,인천,항계내,추진기손상,관리소홀,양호,1,2,0,0,0,인천 LNG기지 서방 0.4해리 인근 해상,37|21|17,126|34|20,고무보트,0,,,,
2018-12-20 11:18,포항,영해,추진기손상,정비불량,양호,1,1,0,0,0,대보 북방 0.5해리 해상,36|05|00,129|33|00,어선,2.32,,,,
2018-12-20 08:03,서귀포,항계내,침수,관리소홀,양호,1,0,0,0,0,성산 오조포구 내,33|28|25,126|56|00,모터보트,2.57,,,,
2018-12-20 07:12,부산,항계내,추진기손상,운항부주의,양호,1,1,0,0,0,용호부두 방파제 인근 해상,35|07|56,129|07|07,어선,0.85,,,,
2018-12-20 06:46,제주,영해,좌초,운항부주의,양호,1,2,0,0,0,조천 북서방 1.5해리,33|33|43,126|36|48,어선,3.3,,,,
2018-12-20 06:03,목포,영해,안전저해,운항부주의,양호,1,3,0,0,0,신안군 우이도 남방 약 4해리,34|31|00,125|48|00,어선,16,,,,
2018-12-19 21:17,여수,영해,키손상,기타,양호,1,22,0,0,0,여수시 삼산면 거문도 남동방 7해리,33|58|65,127|27|18,낚시어선,9.77,,,,
2018-12-19 19:05,본청,영해,침수,정비불량,양호,1,2,0,0,0,경북 울진군 구산 북동 3해리,36|47|00,129|31|00,예부선,69,,,,
2018-12-19 16:16,태안,영해,추진기손상,정비불량,양호,1,2,0,0,0,충남 태안군 소원면 신두리 해수욕장 인근 해상,36|50|19,126|10|46,모터보트,0,,,,
2018-12-19 15:41,본청,영해,안전저해,운항부주의,양호,1,1,0,0,0,경북 울진군 죽변면 골장항 남방 0.4해리 해상,37|01|31,129|24|39,어선,1.98,,,,
2018-12-19 15:34,본청,영해,기관손상,정비불량,양호,1,1,0,0,0,경북 영덕군 노물항 북동방 1.2해리,36|27|00,129|27|00,어선,2.16,,,,
2018-12-19 14:47,목포,항계내,침수,관리소홀,양호,1,0,0,0,0,목포시 북항 소형선박 물양장,000|00|00,000|00|00,어선,0.68,,,,
2018-12-19 10:26,평택,영해,안전저해,운항부주의,양호,1,22,0,0,0,소령도 북서방 약 10해리 해상,37|04|14,125|34|08,낚시어선,9.77,,,,
2018-12-19 07:52,통영,영해,안전저해,운항부주의,양호,1,1,0,0,0,통영시 태도 남방 0.2해리 해상,34|49|39,128|18|56,어선,2.45,,,,
2018-12-19 06:29,목포,영해,안전저해,운항부주의,양호,1,5,0,0,0,신안군 자은도 북서방 4.6해리,34|58|00,125|58|00,예부선,107,,,,
2018-12-19 05:11,여수,항계내,좌초,운항부주의,양호,1,1,0,0,0,여수시 남면 소항도 남동방 약 100미터 해상,34|32|10,127|46|33,어선,1.94,,,,
2018-12-19 00:32,통영,영해,운항저해,정비불량,양호,1,2,0,0,0,통영시 산양읍 저림리 학림도 남방 약 100m 해상,34|44|00,128|25|00,어선,2.99,,,,
2018-12-19 00:19,목포,영해,안전저해,운항부주의,양호,1,4,0,0,0,영광군 안마도 남방 약 6해리,35|13|00,125|59|00,예부선,82,,,,
2018-12-18 16:30,제주,영해,기관손상,정비불량,양호,1,5,0,0,0,사수도 남동방 8해리,33|50|00,126|45|00,어선,9.77,,,,
2018-12-18 16:24,평택,협수로,기관손상,정비불량,양호,1,14,0,0,0,평택·당진항 아산만 29번 등부표 서방 약 0.3해리,37|03|09,126|40|08,화물선,3199,,,,
2018-12-18 07:50,서귀포,공해,충돌,운항부주의,양호,2,22,0,0,0,서귀포남서방 219해리,29|42|00,125|40|00,어선,78,어선,0,,
2018-12-18 07:47,통영,영해,키손상,정비불량,양호,1,3,0,0,0,거제시 동부면 가배항 앞 1.8해리 해상,34|46|00,128|32|00,어선,2.99,,,,
2018-12-18 06:00,동해,영해-EEZ,침수,관리소홀,양호,1,8,0,0,0,강원도 삼척시 근덕면 장호항 동방 14해리 해상,37|19|23,129|37|77,어선,29,,,,
2018-12-18 00:00,본청,영해,충돌,운항부주의,황천4급,2,11,0,0,0,강구동방 22해리,36|23|00,129|49|00,어선,29,어선,24,,
